店名,カテゴリー,地域,住所,電話,ホームページ,テイクアウト,デリバリー,備考
炭火三昧ぐ,居酒屋,中央,〒320-0033 宇都宮市本町5-2,028-627-1181,なし,あり,なし,
MASUYA,洋食,南部,〒321-0131 宇都宮市宮の内4-219,028-653-0515,なし,あり,なし,
NANA KEBAB,その他,中央,〒320-0803 宇都宮市曲師町5-1,028-611-2203,なし,あり,あり,
太鼓番,居酒屋,西部,〒321-0344 宇都宮市田野町313-5,028-652-4465,なし,あり,なし,
麺屋宮一,ラーメン,西部,〒320-0053 宇都宮市戸祭町3005-2,028-666-7378,なし,なし,なし,
石臼挽き手打ち蕎麦藤茂登,うどん・そば,北部,〒321-2114 宇都宮市下金井町514-4,028-665-9678,なし,あり,あり,
焼肉処十々,焼肉・ホルモン,東部,〒321-0952 宇都宮市泉が丘5-1-17,028-663-3735,なし,なし,なし,
焼肉たん吉,焼肉・ホルモン,北部,〒329-1104 宇都宮市下岡本町2415-6,028-673-5834,なし,なし,なし,
箱膳　協,和食,東部,〒321-0945 宇都宮市宿郷3-22-1岡本ビル1-A,028-612-2325,http://www.tochinavi.net/spot/home/?id=19772,あり,あり,
宇都宮天然温泉　ベルさくらの湯　お食事処さくら,和食,東部,〒321-0904 宇都宮市陽東6-5-31,028-663-4126,https://bellsakuranoyu.com/,なし,なし,買いトクチケット利用不可。その他館内施設は買いトクチケットがご利用いただけます。
Bagus,居酒屋,中央,〒320-0802 宇都宮市江野町1-7,028-666-7757,https://www.hotpepper.jp/strJ001180628/,あり,なし,
一陣,和食,中央,〒320-0841 宇都宮市六道町10-17,028-633-8553,なし,あり,なし,
ミスタードーナツ　アピタ宇都宮店,カフェ・スイーツ,南部,〒321-0101 宇都宮市江曽島本町22-7アピタ宇都宮店１階,028-684-2171,なし,あり,なし,
つぼ八宇都宮駅前店,居酒屋,中央,〒321-0964 宇都宮市駅前通り1-4-6トナリエ宇都宮B1,028-616-1318,なし,あり,なし,
定食　ふじもと,その他,中央,〒320-0804 宇都宮市二荒町8-5,028-634-4766,なし,なし,なし,
ヒノマチ食堂,居酒屋,中央,〒320-0804 宇都宮市二荒町4-13上野ビル１階,028-649-6127,なし,なし,なし,
珉亭,中華,中央,〒320-0806 宇都宮市中央2-3-6,028-632-9517,なし,あり,なし,
大番,中華,中央,〒320-0034 宇都宮市泉町3-6,028-622-3733,なし,あり,なし,
お好み焼き　スズヤヨシモリ,お好み焼き・もんじゃ焼き・焼きそば,南部,〒321-0112 宇都宮市屋板町317-1,028-656-8488,なし,あり,なし,
辻めん食堂,お好み焼き・もんじゃ焼き・焼きそば,東部,〒321-0945 宇都宮市宿郷5-27-11,028-633-1084,なし,あり,なし,
ビリオーザ,居酒屋,中央,〒320-0806 宇都宮市中央5-2-8,028-632-7506,なし,あり,なし,
ちkiちki,居酒屋,中央,〒321-0962 宇都宮市今泉町2543-38,028-661-8878,http://www.chikichiki8878.com/,あり,なし,
今泉新町食堂,和食,東部,〒321-0968 宇都宮市中今泉5-23-1,028-613-6140,なし,あり,なし,
宮環とよさと食堂,和食,北部,〒321-0972 宇都宮市下川俣町二ﾂ塚422-1,028-689-2601,なし,あり,なし,
らーめんつる味,ラーメン,北部,〒321-0405 宇都宮市上田町1018-1,028-674-1009,なし,あり,なし,製麺所直営のラーメン専門店です。
麺工房政木屋,ラーメン,北部,〒329-1115 宇都宮市下田原町3455-22,028-672-4118,https://www.masakiya.co.jp/,あり,なし,製麺工場併設の麺類専門店です。
麺のhaco,ラーメン,西部,〒320-0051 宇都宮市上戸祭町94-15,028-612-3260,なし,なし,なし,製麺所直営のラーメン専門店です。
だるまや宇都宮中央本店,居酒屋,中央,〒320-0802 宇都宮市江野町9-1ユタカビル,028-632-1082,なし,あり,なし,
だるまや宮の橋店,居酒屋,中央,〒320-0811 宇都宮市大通り4-1-12,028-306-2414,なし,あり,なし,
満天家本店,ラーメン,南部,〒321-0924 宇都宮市下栗1-11-8,028-666-8797,なし,あり,なし,
満天家宝木店,ラーメン,西部,〒320-0074 宇都宮市細谷町708アクロスプラザ内,028-689-8000,なし,あり,なし,
満天家宇都宮パセオ店,ラーメン,中央,〒321-0965 宇都宮市川向町1-23宇都宮パセオ1階宇都宮フードホール,028-627-8546,なし,あり,なし,
満天家ゆいの杜店,ラーメン,東部,〒321-3226 宇都宮市ゆいの杜6-17-10,028-689-8044,なし,あり,なし,
満天家インターパーク店,ラーメン,南部,〒321-0118 宇都宮市ｲﾝﾀｰﾊﾟｰｸ5-1-19,028-678-6837,なし,あり,なし,
和風レストランまるまつ　宇都宮岩曽店,和食,北部,〒321-0973 宇都宮市岩曽町1177-39,028-660-4500,http://www.re-marumatu.co.jp,あり,なし,
和風レストランまるまつ　宇都宮南店,和食,南部,〒321-0132 宇都宮市雀の宮1-1-24,028-653-6060,http://www.re-marumatu.co.jp,あり,なし,
らら亭　鶴田店,和食,西部,〒320-0851 宇都宮市鶴田町1528-1,028-666-8198,http://www.re-marumatu.co.jp,あり,なし,
カフェレストラン オアシス（宇都宮東武ホテルグランデ内）,洋食,中央,〒320-0033 宇都宮市本町5-12宇都宮東武ホテルグランデ　1F,028-643-2140,https://www.tobuhotel.co.jp/utsunomiya/restaurant/oasis/index.html,あり,あり,
日本料理 簾（宇都宮東武ホテルグランデ内）,和食,中央,〒320-0033 宇都宮市本町5-12宇都宮東武ホテルグランデ　2F,028-643-2178,https://www.tobuhotel.co.jp/utsunomiya/restaurant/ren/,あり,あり,
鉄板焼 下野（宇都宮東武ホテルグランデ内）,ステーキ,中央,〒320-0033 宇都宮市本町5-12宇都宮東武ホテルグランデ　2F,028-643-2148,https://www.tobuhotel.co.jp/utsunomiya/restaurant/shimotsuke/,あり,あり,
中国料理 竹園（宇都宮東武ホテルグランデ内）,中華,中央,〒320-0033 宇都宮市本町5-12宇都宮東武ホテルグランデ　2F,028-643-2159,https://www.tobuhotel.co.jp/utsunomiya/restaurant/chikuen/,あり,あり,営業者　㈲新企
宇都宮東武ホテルグランデ　宴会場兼バンケット,その他,中央,〒320-0033 宇都宮市本町5-12,028-643-2118,https://www.tobuhotel.co.jp/utsunomiya/party/index.html,あり,あり,
ケンタッキーフライドチキン宇都宮アピタ店,ファストフード,南部,〒321-0101 宇都宮市江曽島本町22-7宇都宮アピタ店内,028-684-2127,なし,あり,なし,
ケンタッキーフライドチキン宇都宮宝木店,ファストフード,西部,〒320-0061 宇都宮市宝木町2-2575-1,028-650-1785,なし,あり,なし,
ケンタッキーフライドチキン宇都宮御幸店,ファストフード,北部,〒321-0984 宇都宮市御幸町289-12,028-683-1501,なし,あり,なし,
ケンタッキーフライドチキン宇都宮西川田店,ファストフード,東部,〒321-0152 宇都宮市西川田6-6-39,028-684-1267,なし,あり,なし,
黒潮鮨　御幸本店（対象：店内飲食等）,和食,北部,〒321-0972 宇都宮市下川俣町206-32,028-662-9640,https://kuroshio01.com,あり,なし,
黒潮鮨　西川田店（対象：店内飲食等）,和食,南部,〒321-0151 宇都宮市西川田町913-3,028-689-9641,https://kuroshio01.com,あり,なし,
カラオケビッグエコー宇都宮本町大通り店（飲食のみ）,その他,中央,〒320-0801 宇都宮市池上町2-25K-1ビル,028-611-1334,https://big-echo.jp/shop_info/%E5%AE%87%E9%83%BD%E5%AE%AE%E6%9C%AC%E7%94%BA%E5%A4%A7%E9%80%9A%E3%82%8A%E5%BA%97,あり,なし,
カラオケビッグエコー宇都宮池上店（飲食のみ）,その他,中央,〒320-0801 宇都宮市池上町3-11丸井物産ビル,028-636-1333,https://big-echo.jp/shop_info/%E3%83%93%E3%83%83%E3%82%B0%E3%82%A8%E3%82%B3%E3%83%BC25%E5%AE%87%E9%83%BD%E5%AE%AE%E6%B1%A0%E4%B8%8A%E5%BA%97,あり,なし,
カラオケビッグエコー宇都宮二荒店（飲食のみ）,その他,中央,〒321-0804 宇都宮市二荒町1-14,028-638-8841,https://big-echo.jp/shop_info/%E3%83%93%E3%83%83%E3%82%B0%E3%82%A8%E3%82%B3%E3%83%BC%E5%AE%87%E9%83%BD%E5%AE%AE%E4%BA%8C%E8%8D%92%E5%BA%97,あり,なし,
カラオケマック東武宇都宮店（飲食のみ）,その他,中央,〒321-0802 宇都宮市江野町7-13ヒカリ会館2F,028-636-3730,https://www.karaokemac.com/shop/tobuutsunomiya/shop_tobuutsunomiya.html,なし,なし,
元気寿司　東武店,和食,中央,〒320-0802 宇都宮市江野町6-7,028-634-3621,なし,あり,なし,
魚べい　下川俣店,和食,北部,〒321-0972 宇都宮市下川俣町206-202,028-613-1666,なし,あり,なし,
魚べい　西川田店,和食,南部,〒321-0151 宇都宮市西川田町962-4,028-658-6161,なし,あり,なし,
魚べい　上戸祭店,和食,西部,〒320-0058 宇都宮市上戸祭1-495-2,028-650-6706,なし,あり,あり,
魚べい　宇都宮インターパーク店,和食,南部,〒321-0118 宇都宮市ｲﾝﾀｰﾊﾟｰｸ3-4-7,028-655-1271,なし,あり,なし,
魚べい　平松本町店,和食,南部,〒321-0932 宇都宮市平松本町1216-1,028-638-1911,なし,あり,なし,
魚べい　ゆいの杜店,和食,東部,〒321-3226 宇都宮市ゆいの杜6ｰ17ｰ31,028-666-0891,なし,あり,なし,
種一本店,居酒屋,中央,〒320-0804 宇都宮市二荒町2-6,028-637-7017,https://taneichi.jp/,あり,なし,
花咲種一,和食,中央,〒320-0804 宇都宮市二荒町4-8ベネフィットビル1F,028-666-5206,https://taneichi.jp/,あり,なし,
らーめん一葉,ラーメン,中央,〒320-0804 宇都宮市二荒町1-2,028-637-7066,https://www.instagram.com/ichiyo102/?r=nametag,あり,なし,
らぁめん山本さん家宿郷店,ラーメン,東部,〒321-0945 宇都宮市宿郷5-18-1,028-635-3171,なし,あり,あり,
焼肉処　牛丸はなれ,焼肉・ホルモン,西部,〒320-0857 宇都宮市鶴田2-39-36,028-649-0553,なし,なし,なし,
チェルキオ　ピッツア,イタリアン・フレンチ,西部,〒320-0857 宇都宮市鶴田2-39-36,028-6490-0553,なし,あり,なし,
七輪焼肉　牛丸,焼肉・ホルモン,北部,〒321-0983 宇都宮市御幸本町4732-27,028-613-6210,なし,なし,なし,
ラーメンと炙り豚丼　ドラゴン,ラーメン,北部,〒321-0983 宇都宮市御幸本町4732-27,028-613-6210,なし,あり,なし,
七輪焼肉安安　宇都宮店,焼肉・ホルモン,南部,〒321-0102 宇都宮市江曽島町1441-3,028-659-8181,なし,なし,なし,
七輪焼肉安安　宇都宮石井店,焼肉・ホルモン,東部,〒321-0921 宇都宮市石井町2793-1,028-612-8729,なし,あり,なし,
DiningBar LINK,ダイニングバー・バル,中央,〒320-0803 宇都宮市曲師町6-1,028-306-3275,なし,なし,なし,
焼肉酒場つむぎ,焼肉・ホルモン,中央,〒320-0803 宇都宮市曲師町1-7,028-307-9010,なし,なし,なし,
和食ダイニング　松之家,居酒屋,中央,〒320-0026 宇都宮市馬場通り2-3-12MEGAドンキホーテ１F,028-611-3994,www.matsu-no-ya.com,あり,なし,
大衆レトロ酒場　串之家　宇都宮店,居酒屋,中央,〒320-0803 宇都宮市曲師町6-2,028-612-5489,www.kushinoya.com,あり,なし,
焼肉グレート本町店,焼肉・ホルモン,中央,〒320-0033 宇都宮市本町13-13本町ビル1階,028-666-0120,http://yakiniku-great.com/,なし,なし,
焼肉グレート駅前店,焼肉・ホルモン,中央,〒321-0924 宇都宮市駅前通り1-4-6,028-627-4600,http://yakiniku-great.com/,なし,なし,
川崎タンタン鶴田店,ラーメン,西部,〒320-0851 宇都宮市鶴田町3083,028-678-5444,なし,なし,なし,
レストラン　アルページュ,イタリアン・フレンチ,中央,〒320-0055 宇都宮市下戸祭1-12-7サンハイツ大渕Ⅱ,028-650-5543,https://arpege-i.com/,あり,なし,
ビストロ　キャトルズ,洋食,中央,〒321-0964 宇都宮市駅前通り1-5-2ホテルサンルート宇都宮1F,028-680-7526,https://quatorze-i.com/,あり,なし,
ブラッスリー　ラ・トゥール,ダイニングバー・バル,中央,〒321-0964 宇都宮市駅前通り3-1-1後藤ビル1F・2F,028-680-4641,なし,あり,なし,
酒守　勘兵衛,居酒屋,中央,〒321-0964 宇都宮市駅前通り3-1-5つちやビルB1F,028-612-8228,https://kanbee-i.com/,あり,なし,
５＄　ファイブダラーズ,ダイニングバー・バル,中央,〒320-0026 宇都宮市馬場通り3-1-21馬上ビル1F,028-612-7177,なし,あり,なし,
チーズ専門店・ラヴェドン,カフェ・スイーツ,西部,〒320-0051 宇都宮市上戸祭町533-8,028-678-3370,https://ameblo.jp/lavedone,あり,なし,
喫茶 clover,カフェ・スイーツ,東部,〒321-3232 宇都宮市氷室町1041-49,080-4373-0968,なし,あり,なし,
平松ラーメン,中華,東部,〒321-0931 宇都宮市平松町525オレンジハイツパート3 102,028-639-0264,なし,なし,なし,
うなぎ蒲焼き　橘家,和食,中央,〒320-0811 宇都宮市大通り3-3-6,028-633-5051,なし,あり,なし,
ARCADE アーケード,カフェ・スイーツ,中央,〒320-0802 宇都宮市江野町3-6江野町横丁4号室,028-678-8215,https://www.instagram.com/the_arcade_select,あり,なし,
串揚げダイニング串徹,居酒屋,東部,〒321-0945 宇都宮市宿郷1-4-3コーポソフィア1F東,028-612-8085,なし,なし,なし,
Juice,ダイニングバー・バル,中央,〒320-0806 宇都宮市中央5-2-3,028-637-7770,https://juice-utsunomiya.gorp.jp/,あり,なし,
Café des Princesses,カフェ・スイーツ,中央,〒320-0055 宇都宮市下戸祭1-15-22コオープオリンピア宇都宮101号,028-688-0388,なし,あり,なし,
餃子会館(対象:店内飲食等）,餃子,東部,〒321-0951 宇都宮市越戸町4-4-36,028-663-0947,http://www.gyouza-kaikan.com/,なし,なし,
焼肉・ホルモン　ドラゴン亭,焼肉・ホルモン,中央,〒321-0964 宇都宮市駅前通り1-4-6トナリエ南１F,028-621-2915,なし,なし,なし,
土鍋ごはん　まんま,和食,中央,〒320-0806 宇都宮市中央2-9-6手塚ビル１F,028-610-2210,なし,なし,なし,
典満餃子,中華,中央,〒321-0964 宇都宮市駅前通り3-3-1,028-688-7880,なし,あり,なし,
そば処　みます,うどん・そば,中央,〒320-0037 宇都宮市清住2-6-7,028-622-4733,https://sobadokoromimasu.hp.gogo.jp/pc/,あり,あり,
桃泉楼,中華,北部,〒329-1104 宇都宮市下岡本町2073-9,028-671-0878,なし,あり,あり,
コメダ珈琲店宇都宮みどり野店,カフェ・スイーツ,南部,〒321-0136 宇都宮市みどり野町36-20,050-3372-0713,なし,あり,なし,当面の間7時～22時(オーダーストップ21時30分）の営業となります。
うな亭,和食,中央,〒320-0805 宇都宮市中央本町3-8三共ビル2F,028-635-5802,なし,あり,なし,
日本料理　花ゆず,和食,西部,〒320-0044 宇都宮市南一の沢町2-34,028-632-3138,なし,あり,あり,
旬彩ダイニング　櫻月堂,洋食,東部,〒321-3226 宇都宮市ゆいの杜4-6-1,028-667-1059,なし,あり,なし,
酒蔵ふくべ,居酒屋,中央,〒320-0801 宇都宮市池上町4-21,028-636-8536,なし,あり,あり,
栄寿司,和食,中央,〒320-0806 宇都宮市中央5-16-36,028-636-0246,なし,あり,あり,
花みずき,和食,北部,〒329-1104 宇都宮市下岡本町4310,028-673-8316,なし,あり,なし,
BAR桜井　パイプのけむり,その他,中央,〒320-0803 宇都宮市曲師町5-4中村園ビル３FB,028-666-0570,https://www.barsakurai.com/,なし,なし,
鮨夜　八木澤,和食,中央,〒320-0802 宇都宮市江野町6-6三樹ビル1F,028-688-8509,なし,あり,なし,
桃畑茶屋,和食,西部,〒321-0343 宇都宮市田下町729-2,028-652-0297,なし,なし,なし,
手打ち中華　こころ,ラーメン,北部,〒321-0972 宇都宮市下川俣町206-244宮ハイツ101,028-680-6755,なし,あり,なし,
TORI-MARU,居酒屋,中央,〒320-0806 宇都宮市中央2-9-6手塚ビル２F,028-632-6780,なし,なし,なし,
ミハシカフェ,イタリアン・フレンチ,中央,〒320-0806 宇都宮市中央5-1-20,028-635-0808,なし,あり,なし,
レストランエムロード,和食,北部,〒321-0974 宇都宮市竹林町911-1済生会宇都宮病院内,028-626-5706,なし,あり,なし,
とんきっき本店,餃子,中央,〒320-0026 宇都宮市馬場通り4-2-3,028-627-2772,なし,あり,なし,
宇都宮市文化会館食堂,和食,中央,〒320-0845 宇都宮市明保野町7-66宇都宮市文化会館内,028-635-6856,なし,あり,なし,
夢乃弥,居酒屋,北部,〒321-0971 宇都宮市海道町822-1,028-663-0573,なし,あり,なし,
ビストランテ　ボヌール,イタリアン・フレンチ,中央,〒320-0031 宇都宮市戸祭元町11-11,028-624-1114,なし,あり,なし,
クーリルージュ,イタリアン・フレンチ,北部,〒321-2118 宇都宮市新里町丙33-2,028-678-8848,http://coulis-rouge.net/,なし,なし,
炭火七輪焼肉日和,焼肉・ホルモン,北部,〒321-0984 宇都宮市御幸町150-1,028-663-3929,なし,なし,なし,
和食 かみやま,和食,中央,〒320-0033 宇都宮市本町9-22,028-623-0708,なし,なし,なし,
りべるた食堂,洋食,中央,〒320-0806 宇都宮市中央2-3-1MXIOビル2F,028-612-7511,https://www.hotpepper.jp/strJ001055566/,あり,なし,
中華王ちゃん大曽店,中華,中央,〒320-0014 宇都宮市大曽2-1-13半田貸家,028-643-2981,なし,あり,なし,
創作中華　自宅レストラン　木陰のトカゲ,中華,東部,〒321-3223 宇都宮市清原台3-25-5,028-305-1255,https://www.kokagenotokage.com/,あり,なし,
和食　了寛,和食,中央,〒320-0838 宇都宮市吉野1-7-10,028-611-1711,https://ryo-kan-utsunomiya.gorp.jp/,あり,なし,
アイローネ,イタリアン・フレンチ,中央,〒320-0026 宇都宮市馬場通り2-2-10,028-636-1139,https://www.aierones.com/,なし,なし,
梵天の湯（対象：レストラン）,和食,北部,〒321-0402 宇都宮市今里町18-4,028-674-8963,https://www.bonten-no-yu.com/,あり,なし,
まごころラーメン　まこと,ラーメン,東部,〒321-0962 宇都宮市今泉町2543-55,028-689-3935,なし,あり,なし,
氏家うどん食堂　百次郎,和食,中央,〒320-0805 宇都宮市中央本町3-8三共ビル１F,028-307-6464,https://hitosara.com/0006138655/,あり,あり,
Punto -大谷町食堂-,イタリアン・フレンチ,西部,〒321-0345 宇都宮市大谷町1152,028-908-8055,https://www.instagram.com/punto_oya/,あり,なし,
地産地消とちぎ家,和食,中央,〒320-0033 宇都宮市本町13-13本町ビル2F,028-616-3751,なし,あり,あり,
どさん子あいあいラーメン,ラーメン,中央,〒320-0042 宇都宮市材木町4-1,028-633-6546,なし,あり,あり,
Gusto,イタリアン・フレンチ,中央,〒320-0844 宇都宮市菊水町11-20,028-678-6545,なし,あり,なし,
Hostaria Kofuji,イタリアン・フレンチ,北部,〒321-0982 宇都宮市御幸ｹ原町68-32林ハイツⅠｰ102,028-612-8434,なし,あり,なし,
LOUNGE&BAR lulu,ダイニングバー・バル,中央,〒320-0034 宇都宮市泉町2-15高塩ビル２F,028-622-5116,なし,あり,なし,
オトワレストラン,イタリアン・フレンチ,中央,〒320-0826 宇都宮市西原町3554-7,028-651-0108,https://otowa-artisan.co.jp/,なし,なし,
季節料理　しのはら,和食,北部,〒320-0075 宇都宮市宝木本町1258-10,028-665-8400,なし,なし,なし,
新農村,中華,北部,〒329-1104 宇都宮市下岡本町907-1,028-688-8689,https://shinnouson.gorp.jp/,あり,あり,
SMOKEMAN,ダイニングバー・バル,中央,〒320-0026 宇都宮市馬場通り3-1-21馬上ビル２F,028-612-8372,https://www.smokeman.restaurant/,あり,あり,
和風すずひろ,居酒屋,東部,〒321-0912 宇都宮市石井町2623-1,028-680-6658,なし,あり,なし,
四川料理　彩菜,中華,東部,〒321-0953 宇都宮市東宿郷6-1-21東パークハイツ1-2,028-678-3455,なし,なし,なし,
料理と酒　海賊船,居酒屋,中央,〒320-0802 宇都宮市江野町6-7,028-632-0213,なし,なし,なし,
Y’s tea（対象：店内飲食）,カフェ・スイーツ,中央,〒320-0803 宇都宮市曲師町5-3タキヤビル2階,028-639-6601,https://www.y-tea.com,あり,なし,
レストラン　スピカ,イタリアン・フレンチ,中央,〒320-0805 宇都宮市中央本町3-8三共ビル１F,028-678-3327,なし,なし,なし,
PARK AVENUE,ダイニングバー・バル,中央,〒320-0027 宇都宮市塙田2-2-12,028-625-5655,https://barparkavenue.com/,あり,なし,
PEQUE,ダイニングバー・バル,中央,〒320-0802 宇都宮市江野町10-2,028-634-9595,https://www.hotpepper.jp/strJ001170665/,あり,なし,
めん太郎　岡本店,ラーメン,北部,〒329-1105 宇都宮市中岡本町54-3,028-673-5485,なし,あり,なし,
タムラ食堂,ラーメン,北部,〒321-0971 宇都宮市海道町189-14,028-666-7509,なし,あり,なし,
BAR　craic,その他,中央,〒320-0802 宇都宮市江野町7-2トキタヤビル２F,028-666-6838,なし,なし,なし,
カフェテラス ライオン,洋食,西部,〒320-0012 宇都宮市山本3-13-13,028-624-5296,なし,あり,なし,
無化調らーめん波の花,ラーメン,西部,〒320-0056 宇都宮市戸祭3-4-24,028-621-3210,なし,あり,なし,
樂來チャイナ,中華,中央,〒321-0966 宇都宮市今泉4-12-1Kハイツ101,028-627-0077,なし,あり,なし,
福のや,居酒屋,中央,〒321-0964 宇都宮市駅前通り3-1-16KK第二ビルB1,028-632-5390,なし,なし,なし,
きょうや,居酒屋,中央,〒320-0033 宇都宮市本町2-1M-style.B.L.D 1F,028-612-8334,なし,あり,なし,
ステーキ＆ワイン　存じやす,ステーキ,中央,〒320-0806 宇都宮市中央5-9-2,028-637-4129,http://www.zonjiyasu.com,あり,なし,
鉄板Diningたいしょう庵,お好み焼き・もんじゃ焼き・焼きそば,北部,〒320-0004 宇都宮市長岡町629-5,028-623-4138,なし,なし,なし,
名物そば,うどん・そば,西部,〒320-0855 宇都宮市上欠町868-1,028-648-0128,なし,なし,なし,
海鮮どんさん亭　関堀店,和食,北部,〒321-0975 宇都宮市関堀町89-4,028-680-5020,なし,あり,なし,
満湘園,中華,中央,〒320-0812 宇都宮市一番町1-31大木ビル1F,028-680-7042,なし,あり,なし,
居酒屋のん太,居酒屋,中央,〒320-0811 宇都宮市大通り3-1-24MTビル1F,028-637-3813,https://izakayanonta.owst.jp/,あり,なし,
Dining　Lab　π　宇都宮店,ダイニングバー・バル,中央,〒320-0802 宇都宮市江野町9-1NINE STARSビル,028-634-6750,http://dininglab-pi.com/,あり,なし,
味問屋明日香,和食,中央,〒320-0023 宇都宮市仲町3-12,028-643-1917,http://www.asuka-utunomiya.com/,なし,あり,
Ole41,居酒屋,中央,〒320-0827 宇都宮市花房3-3-36カドリコーポ103,028-666-6233,なし,あり,なし,
TEN's BAR,その他,東部,〒321-0945 宇都宮市宿郷5-2-1成和ビル１F,028-634-0300,なし,なし,なし,
肉割烹 BENNKEI,和食,中央,〒320-0866 宇都宮市西大寛2-5-23,028-666-6001,https://wa-mitsuwa.com/,あり,なし,
オギノラーメン,ラーメン,中央,〒320-0801 宇都宮市池上町2-10,028-634-7939,なし,なし,なし,
焼肉　韓味房,焼肉・ホルモン,東部,〒321-0923 宇都宮市下栗町2916-9,028-680-6330,なし,あり,なし,
キッチンカフェおかりや,居酒屋,中央,〒320-0027 宇都宮市塙田4-3-15丁子屋ビル１F,080-4322-4315,https://www.facebook.com/okariya,なし,なし,
日本料理 みつわ,和食,中央,〒320-0861 宇都宮市西2-6-13,028-632-0707,https://wa-mitsuwa.com/,あり,なし,
みやのスマイルクレープ,カフェ・スイーツ,中央,〒321-0964 宇都宮市駅前通り1-4-6トナリエ宇都宮B1F,028-612-5628,なし,あり,あり,
来らっせ　日替わり店,餃子,中央,〒320-0026 宇都宮市馬場通り2-3-12MEGAドンキホーテ地下１階,028-614-5388,https://www.gyozakai.com,あり,あり,
友雅亭,焼肉・ホルモン,東部,〒321-0904 宇都宮市陽東8-15-41,028-661-8929,なし,あり,なし,
OHYA FUN TABLE,洋食,西部,〒321-0345 宇都宮市大谷町1240,028-688-8409,https://www.instagram.com/funtable_08/,あり,なし,
焼肉もも屋,焼肉・ホルモン,北部,〒321-0971 宇都宮市海道町818-13,028-662-2250,なし,あり,なし,
割烹　柏,和食,中央,〒320-0026 宇都宮市馬場通り3-4-9,028-637-1343,なし,あり,なし,
焼肉　辛元　本店,焼肉・ホルモン,南部,〒321-0169 宇都宮市八千代1-14-27,028-658-1338,なし,あり,なし,
居酒家遊ら里,居酒屋,東部,〒321-0942 宇都宮市峰3-31-36,028-633-8912,なし,あり,なし,
上海キッチンなごむ,中華,中央,〒320-0031 宇都宮市戸祭元町4-10,028-624-0207,なし,あり,なし,
ドトールコーヒーショップ宇都宮オリオン通り店,カフェ・スイーツ,中央,〒320-0802 宇都宮市江野町2-13,028-636-2208,なし,あり,なし,
徳次郎蕎麦,うどん・そば,北部,〒321-0974 宇都宮市竹林町885,028-625-5053,https://www.tochinavi.net/spot/home/?id=17816,あり,なし,
大衆酒場出世街道,居酒屋,中央,〒320-0802 宇都宮市江野町2-8タテノビル,028-634-0691,なし,なし,なし,
道の駅うつのみや ろまんちっく村 そば処 くにもと,うどん・そば,北部,〒321-2118 宇都宮市新里町丙254,028-665-8800,https://www.romanticmura.com,なし,なし,
治兵衛,和食,中央,〒320-0033 宇都宮市本町4-11,028-625-1212,なし,あり,あり,
宇都宮珈琲,カフェ・スイーツ,南部,〒321-0932 宇都宮市平松本町1138-7,028-651-5012,https://www.utsunomiya-coffee.net/,あり,なし,
和酒海鮮茶々丸,居酒屋,中央,〒320-0801 宇都宮市池上町2-1プラチナビルB1,028-632-8999,なし,あり,なし,
かもし家,和食,中央,〒320-0806 宇都宮市中央5-17-20,028-341-8278,https://kamoshiya.info/,あり,なし,
海雲もずく家,居酒屋,中央,〒320-0802 宇都宮市江野町2-122階,028-678-3003,なし,あり,あり,
唐変木,居酒屋,南部,〒321-0102 宇都宮市江曽島町1430-1,028-348-3126,なし,あり,なし,
菊乃屋,和食,中央,〒321-0933 宇都宮市簗瀬町1834-1,028-636-1291,なし,なし,なし,
らーめん十八番,ラーメン,東部,〒321-0953 宇都宮市東宿郷1-5-4,028-610-6266,なし,あり,なし,
喜饗,和食,中央,〒321-0966 宇都宮市今泉2-1-10,028-650-3371,なし,あり,なし,
そら豆,焼肉・ホルモン,中央,〒320-0813 宇都宮市二番町1-11アトリエビル１Ｆ,028-614-3169,なし,なし,なし,
月山　～豆腐とゆば～,和食,西部,〒320-0058 宇都宮市上戸祭4-6-13,028-625-0039,なし,なし,なし,
時計とキッチン,カフェ・スイーツ,東部,〒321-0952 宇都宮市泉が丘2-2-10優泰佳ガーデンコート　B104,028-612-1123,なし,あり,なし,
割烹　大山,和食,中央,〒320-0862 宇都宮市西原1-4-25,028-633-3804,なし,あり,あり,
道の駅うつのみや ろまんちっく村 お食事処 ゆず庵,和食,北部,〒321-2118 宇都宮市新里町丙254,028-665-8800,https://www.romanticmura.com,なし,なし,
道の駅うつのみや ろまんちっく村 ラーメン餃子処 にっさと,ラーメン,北部,〒321-2118 宇都宮市新里町丙254,028-665-8800,https://www.romanticmura.com,なし,なし,
居酒屋きぶな,居酒屋,東部,〒321-0954 宇都宮市元今泉4-13-12,028-639-5423,https://きぶな.com/,なし,なし,
麺伝　とも,ラーメン,南部,〒321-0154 宇都宮市西川田東町15-21,028-659-7119,なし,あり,なし,
天下一品　末広店,ラーメン,南部,〒321-0144 宇都宮市末広2-3-40,028-655-4010,なし,あり,なし,
ルパンドメール,洋食,南部,〒321-0118 宇都宮市ｲﾝﾀｰﾊﾟｰｸ4-2-3,028-678-8374,https://cyp-jp.com/,あり,なし,
来らっせ　常設店,餃子,中央,〒320-0026 宇都宮市馬場通り2-3-12MEGAドンキホーテ地下１階,028-614-5388,https://www.gyozakai.com/,あり,あり,
